,LAT,LON,LICZB_LOKALI_MIESZKALNYCH,LICZBA_GOSPODARSTW,POPULACJA,POPULACJA_20_44
156,50.061472,19.942931,0,0,0,0
157,50.063436,19.937691,0,0,0,0
158,50.050747,19.945456,0,0,0,0
159,50.058622,19.93947,0,0,0,0
160,50.084253,19.957467,0,0,0,0
161,50.075793,19.941286,0,0,0,0
162,50.082435,19.846427,9,0,0,0
163,50.081851,19.84583,40,0,0,0
164,50.09894,19.950821,1,0,0,0
165,50.069259,19.881379,1,1,6,2
166,50.108814,19.900804,1,1,3,1
167,50.093153,19.907763,1,2,2,1
168,50.075175,19.931428,0,0,0,0
169,50.047098,19.903664,0,0,0,0
170,50.053849,19.913268,1,0,0,0
171,50.060455,19.892726,0,0,0,0
172,50.077922,19.920749,1,0,0,0
173,50.072887,19.886797,0,0,0,0
174,50.083864,19.906137,0,0,0,0
175,50.079,19.8943,1,0,0,0
176,50.0766,19.9123,0,0,0,0
177,50.0998,19.9613,0,0,0,0
178,50.081787,19.876386,0,0,0,0
179,50.10162,19.961016,0,0,0,0
180,50.054938,19.923355,0,0,0,0
181,50.100821,19.885642,0,0,0,0
182,50.084743,19.912826,0,0,0,0
183,50.068304,19.887073,0,0,0,0
184,50.084774,19.852274,0,0,0,0
185,50.109489,19.899306,0,0,0,0
186,50.07087,19.834545,1,1,2,0
187,50.095963,19.903022,0,0,0,0
188,50.073264,19.90489,2,0,0,0
189,50.041498,19.823716,1,1,1,0
190,50.080036,19.897416,0,0,0,0
191,50.098734,19.869046,0,0,0,0
192,50.092904,19.905818,0,0,0,0
193,50.098939,19.910118,1,1,4,2
194,50.094273,19.881138,0,0,0,0
195,50.114844,19.893295,1,1,3,1
196,50.048925,19.895483,0,0,0,0
197,50.079547,19.875037,0,0,0,0
198,50.092411,19.868204,0,0,0,0
199,50.097391,19.88731,2,1,3,3
200,50.041288,19.937079,1,1,1,0
201,50.027644,19.899366,1,0,0,0
202,49.990688,19.910786,1,1,5,3
203,49.985692,19.937719,1,2,3,1
204,50.015382,19.945309,1,1,1,0
205,50.008498,20.044478,1,2,5,0
206,50.005972,19.969903,1,0,0,0
207,50.019958,19.9921,1,0,0,0
208,49.977811,19.8826,1,1,6,3
209,50.024903,19.972815,1,0,0,0
210,50.0358,19.978591,0,0,0,0
211,50.042706,19.945197,0,0,0,0
212,50.00624,20.015735,0,0,0,0
213,50.041988,20.060996,0,0,0,0
214,50.050814,19.981667,0,0,0,0
215,50.0455,19.927907,1,1,3,1
216,49.998117,19.919467,0,0,0,0
217,50.020116,19.948833,0,0,0,0
218,50.053267,19.984106,47,24,41,29
219,50.020568,20.047381,0,0,0,0
220,50.040005,20.055641,0,0,0,0
221,50.035687,19.944711,0,0,0,0
222,50.047492,20.027442,1,0,0,0
223,50.009143,20.049014,0,0,0,0
224,50.009454,19.894254,0,0,0,0
225,50.006699,19.989485,0,0,0,0
226,50.038493,19.994378,0,0,0,0
227,49.996463,19.918607,0,0,0,0
228,50.042664,19.995697,0,0,0,0
229,50.048097,19.96418,0,0,0,0
230,50.007483,19.872573,0,0,0,0
231,50.020772,19.86774,1,0,0,0
232,49.994339,19.858505,0,0,0,0
233,49.996253,19.933253,2,0,0,0
234,50.002107,19.961097,1,0,0,0
235,50.002607,20.040217,1,1,2,0
236,50.001663,19.899698,1,0,0,0
237,50.018104,19.807987,0,0,0,0
238,50.042254,20.012046,1,1,2,1
239,50.03211,19.917972,0,0,0,0
240,50.028322,19.853849,0,0,0,0
241,49.992825,20.002846,1,0,0,0
242,49.982379,19.936536,0,0,0,0
243,50.019825,20.054526,75,53,132,77
244,49.993148,19.984651,0,0,0,0
245,50.008271,19.982242,8,0,0,0
246,50.003224,19.89097,1,1,2,0
247,50.045387,19.920611,0,0,0,0
248,49.990179,19.908477,0,0,0,0
249,50.008083,19.979871,0,0,0,0
250,49.978705,19.871564,1,1,4,2
251,50.014826,19.872382,1,0,0,0
252,50.05251,19.927297,91,1,2,0
253,50.02484,19.981551,1,1,5,1
254,50.076504,20.027227,0,0,0,0
255,50.105814,20.12131,1,0,0,0
256,50.058845,20.146357,1,1,2,0
257,50.059862,20.105664,0,0,0,0
258,50.090983,20.007123,0,0,0,0
259,50.062402,20.046701,1,1,2,2
260,50.094122,19.998881,0,0,0,0
261,50.115434,20.189099,0,0,0,0
262,50.097278,20.175181,0,0,0,0
263,50.08542,20.053979,1,1,5,3
264,50.092554,20.076269,1,1,5,1
265,50.091309,20.005753,0,0,0,0
266,50.080475,20.029969,0,0,0,0
267,50.069119,20.09808,0,0,0,0
268,50.079501,19.994216,0,0,0,0
269,50.073006,20.00673,1,1,1,1
270,50.09753,20.040414,1,0,0,0
271,50.077458,20.023473,0,0,0,0
272,50.082826,20.031922,0,0,0,0
273,50.087749,20.017963,0,0,0,0
274,50.081395,20.065324,0,0,0,0
275,50.0693,20.1901,1,1,4,2
276,50.057581,20.01589,18,0,0,0
277,50.093261,20.143124,1,1,2,0
278,50.09732,19.993197,1,1,4,1
279,50.053029,20.025852,1,1,1,0
280,50.08382,20.058203,2,2,8,2
281,50.080863,20.013565,0,0,0,0
282,50.10299,20.072698,0,0,0,0
283,50.101502,20.076093,0,0,0,0
284,50.087957,20.033549,0,0,0,0
285,50.091001,19.989388,0,0,0,0
286,50.0921,19.9908,0,0,0,0
287,50.071535,20.050931,0,0,0,0
288,50.071808,20.028782,0,0,0,0
289,50.077091,19.995499,0,0,0,0
290,50.062069,20.028073,0,0,0,0
291,50.103398,20.040233,0,0,0,0
292,50.069227,19.986669,36,3,3,3
293,50.104209,20.010096,0,0,0,0
294,50.052449,20.009466,0,0,0,0
295,50.081194,20.002024,0,0,0,0
296,50.100248,20.005285,51,2,5,2
297,50.083641,20.033742,0,0,0,0
298,50.094251,20.046616,0,0,0,0
299,50.097555,20.020045,0,0,0,0
300,50.0813,20.0284,0,0,0,0
301,50.08884,20.02146,0,0,0,0
302,50.084675,20.002533,0,0,0,0
303,50.082122,20.037136,0,0,0,0
304,50.092727,20.014483,0,0,0,0
305,50.100138,20.072502,0,0,0,0
306,50.053404,20.029984,1,1,1,0
307,50.086954,19.980566,0,0,0,0
308,50.095281,20.08131,2,1,4,2
309,50.083026,20.042829,0,0,0,0
310,50.100367,20.074952,0,0,0,0
311,50.055052,20.022753,0,0,0,0
312,50.091947,20.13477,0,0,0,0
313,50.105023,20.07974,0,0,0,0
314,50.072512,20.052305,0,0,0,0
315,50.0867,19.969855,1,1,2,0
316,50.070825,19.934205,0,0,0,0
317,50.07777,19.963407,1,1,2,1
318,50.046418,19.943568,0,0,0,0
319,50.085145,19.97697,0,0,0,0
320,50.05608,19.944437,0,0,0,0
321,50.056252,19.961724,185,66,128,64
322,50.050747,19.945456,0,0,0,0
323,50.050747,19.945456,0,0,0,0
324,50.050747,19.945456,0,0,0,0
325,50.050747,19.945456,0,0,0,0
326,50.065391,19.953589,0,0,0,0
327,50.089504,19.976067,0,0,0,0
328,50.082512,19.952362,0,0,0,0
329,50.092146,19.961192,0,0,0,0
330,50.049208,19.942954,0,0,0,0
331,50.064655,19.927867,2,2,3,2
332,50.055567,19.933043,0,0,0,0
333,50.087027,19.958349,0,0,0,0
334,50.053476,19.948278,0,0,0,0
335,50.075005,19.971182,0,0,0,0
336,50.05815,19.94817,1,0,0,0
337,50.077818,19.970652,0,0,0,0
338,50.052429,19.942891,0,0,0,0
339,50.05902,19.93934,0,0,0,0
340,50.047585,19.947652,0,0,0,0
341,50.055089,19.959743,0,0,0,0
342,50.087504,19.973352,0,0,0,0
343,50.06871,19.976516,0,0,0,0
344,50.066518,19.957041,0,0,0,0
345,50.074921,19.958125,0,0,0,0
346,50.092014,19.973039,0,0,0,0
347,50.052962,19.94821,0,0,0,0
348,50.062859,19.941185,2,0,0,0
349,50.086991,19.958561,0,0,0,0
350,50.060815,19.973483,0,0,0,0
351,50.067534,19.933989,0,0,0,0
352,50.056821,19.97624,0,0,0,0
353,50.069765,19.96069,0,0,0,0
354,50.059714,19.941763,0,0,0,0
355,50.068104,19.965833,0,0,0,0
356,50.070642,19.933598,0,0,0,0
357,50.052498,19.945716,0,0,0,0
358,50.050749,19.941089,0,0,0,0
359,50.083341,19.960229,0,0,0,0
360,50.059547,19.947337,0,0,0,0
361,50.058098,19.936868,0,0,0,0
362,50.059914,19.948338,0,0,0,0
363,50.046282,19.941119,0,0,0,0
364,50.07304,19.93535,0,0,0,0
365,50.062054,19.972265,0,0,0,0
366,50.050747,19.945456,0,0,0,0
367,50.050747,19.945456,0,0,0,0
368,50.050747,19.945456,0,0,0,0
369,50.073645,19.946837,0,0,0,0
370,50.073157,19.945165,0,0,0,0
371,50.074448,19.914768,0,0,0,0
372,50.102983,19.967394,1,0,0,0
373,50.081853,19.878937,1,0,0,0
374,50.081832,19.890357,0,0,0,0
375,50.072648,19.907381,0,0,0,0
376,50.08865,19.926815,0,0,0,0
377,50.072639,19.901362,0,0,0,0
378,50.075874,19.921126,0,0,0,0
379,50.074371,19.935563,0,0,0,0
380,50.093907,19.904816,1,1,1,1
381,50.094899,19.905258,0,0,0,0
382,50.073402,19.922245,0,0,0,0
383,50.092831,19.906559,1,0,0,0
384,50.093632,19.902616,18,15,35,17
385,50.079488,19.880471,0,0,0,0
386,50.091997,19.901875,0,0,0,0
387,50.068898,19.852213,0,0,0,0
388,50.076051,19.928759,0,0,0,0
389,50.079159,19.878339,0,0,0,0
390,50.0953,19.888424,0,0,0,0
391,50.063279,19.874721,2,2,5,0
392,50.062018,19.870041,1,1,2,1
393,50.04776,19.872815,1,0,0,0
394,50.070063,19.88965,2,2,4,1
395,50.072313,19.927543,0,0,0,0
396,50.087729,19.944058,0,0,0,0
397,50.110076,19.943428,1,1,5,2
398,50.06133,19.886604,2,1,1,0
399,50.046957,19.903888,0,0,0,0
400,50.091554,19.916502,0,0,0,0
401,50.081799,19.866499,0,0,0,0
402,50.043756,19.828918,0,0,0,0
403,50.064256,19.805106,0,0,0,0
404,50.073065,19.931288,0,0,0,0
405,50.079951,19.930863,0,0,0,0
406,50.072997,19.904601,0,0,0,0
407,50.095248,19.920703,61,48,106,62
408,50.072806,19.857866,1,0,0,0
409,50.100181,19.910078,12,7,17,10
410,50.0964,19.9079,0,0,0,0
411,50.0491,19.9048,0,0,0,0
412,50.1135,19.9275,0,0,0,0
413,50.054886,19.918148,10,3,4,1
414,50.095067,19.866788,1,2,4,2
415,50.047612,19.873225,1,1,4,1
416,50.047336,19.861361,1,1,4,0
417,50.039961,19.818864,1,1,4,2
418,50.03991,19.818987,1,0,0,0
419,50.081521,19.882059,0,0,0,0
420,50.087297,19.845559,0,0,0,0
421,50.091445,19.893842,0,0,0,0
422,50.08889,19.927222,0,0,0,0
423,50.088559,19.931289,0,0,0,0
424,50.055631,19.924911,0,0,0,0
425,50.066452,19.825519,0,0,0,0
426,50.069409,19.845868,0,0,0,0
427,50.054796,19.919775,0,0,0,0
428,50.08575,19.946066,0,0,0,0
429,50.095745,19.924997,1,0,0,0
430,50.095674,19.933133,0,0,0,0
431,50.094032,19.907291,1,0,0,0
432,50.08885,19.947127,0,0,0,0
433,50.071677,19.896885,0,0,0,0
434,50.082069,19.889786,0,0,0,0
435,50.085987,19.914301,0,0,0,0
436,50.0977,19.9635,0,0,0,0
437,50.047293,19.875037,0,0,0,0
438,50.102066,19.955288,0,0,0,0
439,50.065511,19.844272,0,0,0,0
440,50.060104,19.9182,0,0,0,0
441,50.107787,19.955182,0,0,0,0
442,50.056729,19.907988,0,0,0,0
443,50.09245,19.943215,33,16,40,17
444,50.060787,19.869391,1,0,0,0
445,50.078309,19.880763,0,0,0,0
446,50.090109,19.91554,0,0,0,0
447,50.069193,19.820865,0,0,0,0
448,50.077298,19.936186,0,0,0,0
449,50.058724,19.870195,0,0,0,0
450,50.097395,19.880677,0,0,0,0
451,50.099789,19.888628,1,1,4,1
452,50.082641,19.917831,0,0,0,0
453,50.089351,19.929609,0,0,0,0
454,50.047026,19.873558,0,0,0,0
455,50.076484,19.893488,0,0,0,0
456,50.099134,19.945631,1,0,0,0
457,50.062601,19.884129,2,1,1,1
458,50.057264,19.903826,2,2,6,2
459,50.068154,19.851324,3,3,8,4
460,50.029058,19.935917,0,0,0,0
461,50.0448,19.9575,0,0,0,0
462,50.039693,19.955535,0,0,0,0
463,50.030732,20.011933,0,0,0,0
464,50.010604,19.811765,1,0,0,0
465,50.028839,20.050632,0,0,0,0
466,50.036422,19.976747,0,0,0,0
467,50.006218,19.916796,1,0,0,0
468,50.033679,19.857943,0,0,0,0
469,49.977878,19.875782,0,0,0,0
470,49.979868,19.948068,0,0,0,0
471,50.005415,19.988767,0,0,0,0
472,50.004094,19.988871,0,0,0,0
473,50.033466,19.886434,1,1,1,1
474,50.017905,19.951513,0,0,0,0
475,50.033343,19.895233,1,0,0,0
476,50.009546,19.903334,0,0,0,0
477,50.029535,19.932405,0,0,0,0
478,49.972852,19.953833,0,0,0,0
479,50.016949,20.017668,0,0,0,0
480,50.011418,19.8074,1,0,0,0
481,50.004692,19.860994,1,0,0,0
482,50.049776,19.956855,0,0,0,0
483,49.992725,19.996411,1,1,3,1
484,50.043876,20.055971,1,1,3,0
485,50.019479,19.963233,15,8,19,7
486,50.03557,19.996577,1,1,5,2
487,50.028364,19.853773,0,0,0,0
488,49.986478,20.007846,0,0,0,0
489,50.032447,20.054795,0,0,0,0
490,50.039262,20.070903,0,0,0,0
491,50.048399,20.073334,1,1,5,2
492,50.002175,19.868326,0,0,0,0
493,49.987756,19.91345,0,0,0,0
494,50.038743,19.863836,0,0,0,0
495,50.022054,19.920404,0,0,0,0
496,50.019533,19.927427,0,0,0,0
497,50.002491,19.957866,1,1,4,1
498,50.006349,19.880136,0,0,0,0
499,50.026432,19.905436,0,0,0,0
500,50.02579,19.974429,0,0,0,0
501,50.033672,19.971928,0,0,0,0
502,50.040692,20.002395,24,15,45,21
503,49.992303,19.945685,1,1,4,3
504,49.987606,19.905029,8,8,17,9
505,49.982635,19.942796,1,1,1,1
506,49.984672,19.892681,1,0,0,0
507,49.999132,19.871976,1,0,0,0
508,49.985448,19.895747,2,0,0,0
