,LAT,LON,LICZB_LOKALI_MIESZKALNYCH,LICZBA_GOSPODARSTW,POPULACJA,POPULACJA_20_44
13118,51.06188,17.040142,1,1,4,2
13119,51.060976,17.037356,1,1,6,2
13120,51.078565,17.058477,1,0,0,0
13121,51.070639,17.003889,1,1,1,0
13122,51.060315,17.004094,18,14,31,13
13123,51.064838,17.035071,1,1,1,0
13124,51.07995,17.023329,1,1,2,0
13125,51.06476,17.060739,1,1,2,1
13126,51.053477,17.059326,21,19,43,17
13127,51.139694,17.080222,0,0,0,0
13128,51.135987,17.070353,0,0,0,0
13129,51.138184,17.06007,0,0,0,0
13130,51.135309,17.000833,0,0,0,0
13131,51.115795,17.115294,0,0,0,0
13132,51.160806,17.028998,0,0,0,0
13133,51.146209,17.042641,0,0,0,0
13134,51.159582,17.047456,0,0,0,0
13135,51.157126,17.121687,0,0,0,0
13136,51.13022,17.065339,0,0,0,0
13137,51.156762,17.00643,0,0,0,0
13138,51.134291,17.098989,0,0,0,0
13139,51.12726,17.106888,0,0,0,0
13140,51.140058,17.133617,0,0,0,0
13141,51.150755,17.068172,0,0,0,0
13142,51.115843,17.12799,0,0,0,0
13143,51.117534,17.116601,0,0,0,0
13144,51.163829,17.138041,0,0,0,0
13145,51.135286,17.006171,0,0,0,0
13146,51.1681,17.1117,0,0,0,0
13147,51.196817,16.976614,0,0,0,0
13148,51.135092,17.049896,0,0,0,0
13149,51.136934,17.123517,0,0,0,0
13150,51.162909,17.133761,0,0,0,0
13151,51.100199,17.156443,1,0,0,0
13152,51.1503,17.0424,0,0,0,0
13153,51.155883,17.132412,0,0,0,0
13154,51.193876,16.976041,0,0,0,0
13155,51.152251,17.12107,0,0,0,0
13156,51.1621,17.0386,0,0,0,0
13157,51.173645,17.111536,0,0,0,0
13158,51.1532,17.0336,1,1,3,1
13159,51.136099,17.086768,1,1,3,1
13160,51.09432,17.162408,1,0,0,0
13161,51.17258,17.020194,1,0,0,0
13162,51.1515,17.132494,0,0,0,0
13163,51.134176,17.063541,0,0,0,0
13164,51.141387,17.135382,1,1,3,2
